id,commonName,scientificName,pathogen,probability,evaluation,observationsEval
ID_1707413701629,Lesión por glifosato,Herbicide Shikimic acid pathway inhibitors,others,Muy improbable,No lo sé,
ID_1707413751241,Alticinos,Chrysomelidae,insect,Posible,VERDADERO,
ID_1707413751241,Virus Y de la Papa,PVY,virus,Improbable,VERDADERO,
ID_1707413751241,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707413920931,Cogollero del Tomate,Tuta Absoluta,insect,Probable,VERDADERO,
ID_1707414435887,Deficiencia de nitrógeno,Nitrogen Deficiency,deficiency,Improbable,VERDADERO,
ID_1707414435887,Moscas minadoras o minadores,Agromyzidae,insect,Improbable,VERDADERO,
ID_1707414435887,Saludables,Healthy,others,Muy improbable,VERDADERO,
ID_1707414816827,Botritis de la Cebolla,Botryotinia squamosa,fungi,Probable,VERDADERO,
ID_1707414816827,Saludables,Healthy,others,Muy improbable,VERDADERO,
ID_1707414816827,Trips o arañuelas,Thysanoptera,insect,Muy improbable,VERDADERO,
ID_1707442674510,Tizón Foliar por Turcicum,Setosphaeria turcica,fungi,Probable,VERDADERO,
ID_1707442674510,Saludables,Healthy,others,Muy improbable,FALSO,
ID_1707442674510,Antracnosis de los cereales,Colletotrichum graminicola,fungi,Muy improbable,FALSO,
ID_1707442766280,Tizón Foliar por Turcicum,Setosphaeria turcica,fungi,Probable,VERDADERO,
ID_1707442766280,Saludables,Healthy,others,Muy improbable,FALSO,
ID_1707442766280,Antracnosis de los cereales,Colletotrichum graminicola,fungi,Muy improbable,FALSO,
ID_1707446428968,Huitlacoche,Ustilago maydis,fungi,Muy probable,VERDADERO,
ID_1707494912671,Saludables,Healthy,others,Posible,FALSO,
ID_1707494912671,Mancha de hierro,Mycosphaerella coffeicola,fungi,Improbable,VERDADERO,
ID_1707494912671,Fumagina,Pezizomycotina,fungi,Muy improbable,VERDADERO,
ID_1707495315474,Saludables,Healthy,others,Posible,FALSO,
ID_1707495315474,Mancha de hierro,Mycosphaerella coffeicola,fungi,Improbable,VERDADERO,
ID_1707495315474,Fumagina,Pezizomycotina,fungi,Muy improbable,VERDADERO,
ID_1707495516825,Virus del enrollamiento de la hoja de papa,PLRV,virus,Probable,FALSO,
ID_1707495516825,Alticinos,Chrysomelidae,insect,Muy improbable,VERDADERO,
ID_1707495516825,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,VERDADERO,
ID_1707503099922,Tizón tardío del tomate,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707529700369,Gusano bellotero del algodón,Helicoverpa armigera,insect,Posible,VERDADERO,
ID_1707529700369,Oruga del tabaco,Spodoptera litura,insect,Improbable,VERDADERO,
ID_1707529700369,Cicatriz leñosa pistilar o carigato,Physiological Disorder,others,Muy improbable,VERDADERO,
ID_1707529772899,Tizón tardío del tomate,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707529870811,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707529870811,Virus del enrollamiento de la hoja de papa,PLRV,virus,Muy improbable,FALSO,
ID_1707529870811,Virus Y de la Papa,PVY,virus,Muy improbable,FALSO,
ID_1707575590884,Deficiencia de magnesio,Magnesium Deficiency,deficiency,Muy probable,VERDADERO,
ID_1707576095541,Tizón tardío del tomate,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707576095541,Moho gris,Botrytis cinerea,fungi,Muy improbable,VERDADERO,
ID_1707576095541,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,VERDADERO,
ID_1707576159792,Rizado de las hojas del tomate,Physiological Disorder,others,Improbable,VERDADERO,
ID_1707576159792,Daños en el desarrollo por herbicidas,Herbicides Growth Regulators,others,Improbable,VERDADERO,
ID_1707576159792,Lesión por glifosato,Herbicide Shikimic acid pathway inhibitors,others,Improbable,VERDADERO,
ID_1707576451722,Cicatriz leñosa pistilar o carigato,Physiological Disorder,others,Posible,VERDADERO,
ID_1707576451722,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,VERDADERO,
ID_1707576451722,Mancha bacteriana del tomate,Xanthomonas spp. & Pseudomonas syringae pv. tomato,bacteria,Muy improbable,VERDADERO,
ID_1707741909539,Roya del cafeto,Hemileia vastatrix,fungi,Probable,VERDADERO,
ID_1707747270968,Roya del cafeto,Hemileia vastatrix,fungi,Probable,VERDADERO,
ID_1707747556038,Roya del cafeto,Hemileia vastatrix,fungi,Probable,VERDADERO,
ID_1707752855102,Mosca blanca,Aleyrodidae,insect,Probable,VERDADERO,
ID_1707757725797,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707757725797,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,FALSO,
ID_1707757725797,Polilla de la Papa,Phthorimaea operculella,insect,Muy improbable,FALSO,
ID_1707779015043,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707779862232,Roya del Puerro,Puccinia porri,fungi,Muy probable,VERDADERO,
ID_1707780110116,Alticinos,Chrysomelidae,insect,Muy probable,VERDADERO,
ID_1707781160763,Botritis de la Cebolla,Botryotinia squamosa,fungi,Posible,FALSO,
ID_1707781160763,Moscas minadoras o minadores,Agromyzidae,insect,Improbable,VERDADERO,
ID_1707781160763,Trips o arañuelas,Thysanoptera,insect,Muy improbable,VERDADERO,
ID_1707781491833,Rizoctoniasis  de la patata,Rhizoctonia solani,fungi,Probable,VERDADERO,
ID_1707781491833,Saludables,Healthy,others,Muy improbable,VERDADERO,
ID_1707781491833,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707792827045,Quema foliar en la cebolla,Pleospora allii,fungi,Muy probable,VERDADERO,
ID_1707792827045,Mildiú lanoso,Peronosporales,fungi,Muy improbable,VERDADERO,
ID_1707792827045,Botritis de la Cebolla,Botryotinia squamosa,fungi,Muy improbable,VERDADERO,
ID_1707827088702,Áfidos o pulgones,Aphis,insect,Improbable,VERDADERO,
ID_1707827088702,Cogollero del maíz,Spodoptera frugiperda,insect,Improbable,VERDADERO,
ID_1707827088702,Huitlacoche,Ustilago maydis,fungi,Improbable,FALSO,
ID_1707827406497,Áfidos o pulgones,Aphis,insect,Improbable,VERDADERO,
ID_1707827406497,Cogollero del maíz,Spodoptera frugiperda,insect,Improbable,VERDADERO,
ID_1707827406497,Huitlacoche,Ustilago maydis,fungi,Improbable,FALSO,
ID_1707832573926,Alticinos,Chrysomelidae,insect,Probable,VERDADERO,
ID_1707832573926,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707832573926,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,VERDADERO,
ID_1707832844783,Alticinos,Chrysomelidae,insect,Probable,VERDADERO,
ID_1707832844783,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707837403712,Tizón temprano,Alternaria solani,fungi,Muy probable,VERDADERO,
ID_1707837856536,Alticinos,Chrysomelidae,insect,Probable,VERDADERO,
ID_1707837856536,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707838081790,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Posible,VERDADERO,
ID_1707838081790,Alticinos,Chrysomelidae,insect,Posible,VERDADERO,
ID_1707838081790,Virus Y de la Papa,PVY,virus,Muy improbable,VERDADERO,
ID_1707838223118,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Probable,VERDADERO,
ID_1707838223118,Alticinos,Chrysomelidae,insect,Improbable,VERDADERO,
ID_1707838223118,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,VERDADERO,
ID_1707838311789,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Posible,VERDADERO,
ID_1707838311789,Alticinos,Chrysomelidae,insect,Posible,VERDADERO,
ID_1707838454346,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707838454346,Polilla de la Papa,Phthorimaea operculella,insect,Muy improbable,VERDADERO,
ID_1707838522491,Polilla de la Papa,Phthorimaea operculella,insect,Probable,VERDADERO,
ID_1707838522491,Tizón tardío de la papa,Phytophthora infestans,fungi,Muy improbable,VERDADERO,
ID_1707838748332,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707838748332,Polilla de la Papa,Phthorimaea operculella,insect,Muy improbable,VERDADERO,
ID_1707838748332,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,VERDADERO,
ID_1707838894656,Saludables,Healthy,others,Probable,VERDADERO,
ID_1707841173467,Mancha de hierro,Mycosphaerella coffeicola,fungi,Probable,VERDADERO,
ID_1707841173467,Roya del cafeto,Hemileia vastatrix,fungi,Improbable,FALSO,
ID_1707841173467,Minador del cafeto,Leucoptera sp.,insect,Muy improbable,FALSO,
ID_1707841490254,Mancha de hierro,Mycosphaerella coffeicola,fungi,Probable,VERDADERO,
ID_1707841490254,Roya del cafeto,Hemileia vastatrix,fungi,Improbable,FALSO,
ID_1707841490254,Minador del cafeto,Leucoptera sp.,insect,Muy improbable,FALSO,
ID_1707846193756,Cogollero del maíz,Spodoptera frugiperda,insect,Probable,VERDADERO,
ID_1707856487938,Tizón tardío del tomate,Phytophthora infestans,fungi,Probable,FALSO,
ID_1707856487938,Tizón temprano,Alternaria solani,fungi,Muy improbable,VERDADERO,
ID_1707856487938,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,FALSO,
ID_1707870564019,Mancha Ocular del Maíz,Kabatiella zeae,fungi,Posible,VERDADERO,
ID_1707870564019,Roya del Maíz,Puccinia polysora,fungi,Improbable,VERDADERO,
ID_1707870564019,Mancha Foliar de Bipolaris,Cochliobolus heterostrophus,fungi,Improbable,VERDADERO,
ID_1707887294864,Huitlacoche,Ustilago maydis,fungi,Probable,No lo sé,
ID_1707887294864,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Muy improbable,FALSO,
ID_1707887294864,Carbón de la Espiga de Maíz,Sphacelotheca reiliana,fungi,Muy improbable,No lo sé,
ID_1707918954695,Rizoctoniasis  de la patata,Rhizoctonia solani,fungi,Muy probable,VERDADERO,
ID_1707919040669,Tizón tardío de la papa,Phytophthora infestans,fungi,Muy probable,VERDADERO,
ID_1707919179909,Virus del enrollamiento de la hoja de papa,PLRV,virus,Muy probable,FALSO,
ID_1707919263671,Araña roja (ácaro),Tetranychidae,mite,Posible,VERDADERO,
ID_1707919263671,Áfidos o pulgones,Aphis,insect,Muy improbable,VERDADERO,
ID_1707919396748,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707919396748,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,FALSO,
ID_1707920059338,Alticinos,Chrysomelidae,insect,Probable,VERDADERO,
ID_1707920059338,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,FALSO,
ID_1707920059338,Polilla de la Papa,Phthorimaea operculella,insect,Muy improbable,FALSO,
ID_1707924483877,Roya del cafeto,Hemileia vastatrix,fungi,Probable,VERDADERO,
ID_1707926896702,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Probable,VERDADERO,
ID_1707926896702,Huitlacoche,Ustilago maydis,fungi,Muy improbable,FALSO,
ID_1707927143842,Cogollero del maíz,Spodoptera frugiperda,insect,Improbable,FALSO,
ID_1707927143842,Barrenador de la Caña,Diatraea saccharalis,insect,Muy improbable,No lo sé,
ID_1707927143842,Oruga de la hoja del arroz,Cnaphalocrocis medinalis,insect,Muy improbable,No lo sé,
ID_1707927254373,Marchitez bacteriana de Goss,Clavibacter michiganensis,bacteria,Probable,FALSO,
ID_1707927254373,Deficiencia de nitrógeno,Nitrogen Deficiency,deficiency,Muy improbable,VERDADERO,
ID_1707928335099,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Probable,VERDADERO,
ID_1707928434002,Oruga del corte del arroz,Mythimna separata,insect,Posible,FALSO,
ID_1707928434002,Cogollero del maíz,Spodoptera frugiperda,insect,Improbable,VERDADERO,
ID_1707928434002,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,FALSO,
ID_1707928727525,Cogollero del maíz,Spodoptera frugiperda,insect,Muy probable,VERDADERO,
ID_1707928799550,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707928799550,Virus del enrollamiento de la hoja de papa,PLRV,virus,Muy improbable,FALSO,
ID_1707928799550,Deficiencia de potasio,Potassium Deficiency,deficiency,Muy improbable,FALSO,
ID_1707933085338,Cogollero del maíz,Spodoptera frugiperda,insect,Probable,VERDADERO,
ID_1707933085338,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Muy improbable,FALSO,
ID_1707933085338,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,FALSO,
ID_1707935269208,Saludables,Healthy,others,Improbable,FALSO,
ID_1707935269208,Mancha de hierro,Mycosphaerella coffeicola,fungi,Improbable,FALSO,
ID_1707935269208,Roya del cafeto,Hemileia vastatrix,fungi,Improbable,FALSO,
ID_1707935339869,Áfidos o pulgones,Aphis,insect,Probable,FALSO,
ID_1707935339869,Mosca blanca,Aleyrodidae,insect,Muy improbable,FALSO,
ID_1707935451672,Mancha Ocular del Maíz,Kabatiella zeae,fungi,Posible,VERDADERO,
ID_1707935451672,Roya del Maíz,Puccinia polysora,fungi,Improbable,FALSO,
ID_1707935451672,Mancha Foliar de Bipolaris,Cochliobolus heterostrophus,fungi,Improbable,FALSO,
ID_1707935627310,Saludables,Healthy,others,Posible,VERDADERO,
ID_1707935627310,Ácaro blanco,Polyphagotarsonemus latus,mite,Improbable,VERDADERO,
ID_1707935627310,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,VERDADERO,
ID_1707936355882,Tizón tardío de la papa,Phytophthora infestans,fungi,Muy probable,VERDADERO,
ID_1707940262052,Moscas minadoras o minadores,Agromyzidae,insect,Probable,VERDADERO,
ID_1707941098471,Alticinos,Chrysomelidae,insect,Muy probable,VERDADERO,
ID_1707941098471,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,FALSO,
ID_1707941686519,Cochinillas harinosas,Pseudococcidae,insect,Muy probable,FALSO,
ID_1707941686519,Áfidos o pulgones,Aphis,insect,Muy improbable,VERDADERO,
ID_1707941856489,Falso carbón,Villosiclava virens,fungi,Probable,VERDADERO,
ID_1707942227325,Virus del enrollamiento de la hoja de papa,PLRV,virus,Muy probable,FALSO,
ID_1707942333428,Sigatoka negra y amarilla,Mycosphaerella sp.,fungi,Muy probable,VERDADERO,
ID_1707942870667,Mosca blanca,Aleyrodidae,insect,Muy probable,VERDADERO,
ID_1707943074521,Mancha Foliar de Bipolaris,Cochliobolus heterostrophus,fungi,Posible,VERDADERO,
ID_1707943074521,Mancha Gris del Maíz,Cercospora zeae-maydis,fungi,Posible,FALSO,
ID_1707943074521,Mancha Foliar por Phaeosphaeria,Phaeosphaeria maydis,fungi,Muy improbable,No lo sé,
ID_1707943146403,Áfidos o pulgones,Aphis,insect,Probable,VERDADERO,
ID_1707948149858,Ácaro blanco,Polyphagotarsonemus latus,mite,Probable,VERDADERO,
ID_1707948149858,Virus del enrollamiento de la hoja del chile,CLCV,virus,Muy improbable,VERDADERO,
ID_1707948149858,Virus del mosaico del pepino en el pimiento,CMV,virus,Muy improbable,VERDADERO,
ID_1707949601900,Cogollero del maíz,Spodoptera frugiperda,insect,Muy probable,VERDADERO,
ID_1707949905845,Moho gris,Botrytis cinerea,fungi,Probable,FALSO,
ID_1707949905845,Tizón tardío del tomate,Phytophthora infestans,fungi,Muy improbable,VERDADERO,
ID_1707971410088,Áfidos o pulgones,Aphis,insect,Posible,FALSO,
ID_1707971410088,Mosca blanca,Aleyrodidae,insect,Improbable,FALSO,
ID_1707971410088,Cochinillas harinosas,Pseudococcidae,insect,Muy improbable,VERDADERO,
ID_1707971699437,Moscas minadoras o minadores,Agromyzidae,insect,Probable,FALSO,
ID_1707971699437,Áfidos o pulgones,Aphis,insect,Muy improbable,VERDADERO,
ID_1708002247071,Oruga del tabaco,Spodoptera litura,insect,Probable,VERDADERO,
ID_1708002247071,Escarabajo de las hojas,Epilachna vigintioctopunctata,insect,Muy improbable,No lo sé,
ID_1708002466035,Oruga del tabaco,Spodoptera litura,insect,Probable,VERDADERO,
ID_1708002466035,Escarabajo de las hojas,Epilachna vigintioctopunctata,insect,Muy improbable,No lo sé,
ID_1708002670043,Araña roja (ácaro),Tetranychidae,mite,Posible,FALSO,
ID_1708002670043,Mosca blanca,Aleyrodidae,insect,Improbable,VERDADERO,
ID_1708002670043,Cochinillas harinosas,Pseudococcidae,insect,Muy improbable,FALSO,
ID_1708006770361,Cogollero del maíz,Spodoptera frugiperda,insect,Probable,VERDADERO,
ID_1708006770361,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Muy improbable,FALSO,
ID_1708006770361,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,FALSO,
ID_1708006904814,Podredumbre de la Mazorca por Fusarium,Fusarium verticillioides,fungi,Muy probable,VERDADERO,
ID_1708006904814,Saludables,Healthy,others,Muy improbable,FALSO,
ID_1708007311807,Cogollero del maíz,Spodoptera frugiperda,insect,Muy probable,VERDADERO,
ID_1708007899499,Quema foliar en la cebolla,Pleospora allii,fungi,Muy probable,VERDADERO,
ID_1708007899499,Botritis de la Cebolla,Botryotinia squamosa,fungi,Muy improbable,VERDADERO,
ID_1708007899499,Mildiú lanoso,Peronosporales,fungi,Muy improbable,FALSO,
ID_1708009287393,Quema foliar en la cebolla,Pleospora allii,fungi,Muy probable,FALSO,
ID_1708009287393,Mildiú lanoso,Peronosporales,fungi,Muy improbable,FALSO,
ID_1708009287393,Botritis de la Cebolla,Botryotinia squamosa,fungi,Muy improbable,FALSO,
ID_1708039674622,Cogollero del maíz,Spodoptera frugiperda,insect,Probable,VERDADERO,
ID_1708039845684,Virus del mosaico amarillo del frijol mungo,MYMV,virus,Posible,No lo sé,
ID_1708039845684,Virus del mosaico común del frijol,BCMV,virus,Posible,VERDADERO,
ID_1708039784222,Tizón tardío de la papa,Phytophthora infestans,fungi,Posible,VERDADERO,
ID_1708039784222,Polilla de la Papa,Phthorimaea operculella,insect,Improbable,VERDADERO,
ID_1708039784222,Tizón tardío de la papa,Phytophthora infestans,fungi,Posible,VERDADERO,
ID_1708039784222,Polilla de la Papa,Phthorimaea operculella,insect,Improbable,VERDADERO,
ID_1708040470211,Deficiencia de potasio,Potassium Deficiency,deficiency,Posible,VERDADERO,
ID_1708040470211,Tizón temprano,Alternaria solani,fungi,Improbable,VERDADERO,
ID_1708040470211,Tizón tardío de la papa,Phytophthora infestans,fungi,Muy improbable,VERDADERO,
ID_1708040662675,Pudrición negra,Xanthomonas campestris pv. campestris,bacteria,Muy probable,VERDADERO,
ID_1708040662675,Mildiú lanoso,Peronosporales,fungi,Muy improbable,VERDADERO,
ID_1708040662675,Mancha por alternaria,Alternaria brassicae,fungi,Muy improbable,VERDADERO,
ID_1708040778038,Oruga del tabaco,Spodoptera litura,insect,Probable,VERDADERO,
ID_1708040778038,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,VERDADERO,
ID_1708040778038,Mancha bacteriana del tomate,Xanthomonas sp.,bacteria,Muy improbable,VERDADERO,
ID_1708040778038,Oruga del tabaco,Spodoptera litura,insect,Probable,VERDADERO,
ID_1708040778038,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,VERDADERO,
ID_1708040778038,Mancha bacteriana del tomate,Xanthomonas sp.,bacteria,Muy improbable,VERDADERO,
ID_1708040876878,Moscas minadoras o minadores,Agromyzidae,insect,Probable,VERDADERO,
ID_1708042014656,Mosca blanca,Aleyrodidae,insect,Muy probable,VERDADERO,
ID_1708042523323,Mosca blanca,Aleyrodidae,insect,Muy probable,VERDADERO,
ID_1708042755772,Oruga del tabaco,Spodoptera litura,insect,Probable,VERDADERO,
ID_1708042755772,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,FALSO,
ID_1708043842866,Deficiencia de magnesio,Magnesium Deficiency,deficiency,Probable,VERDADERO,
ID_1708044311872,Cogollero del maíz,Spodoptera frugiperda,insect,Probable,VERDADERO,
ID_1708044505140,Mancha bacteriana del tomate,Xanthomonas spp. & Pseudomonas syringae pv. tomato,bacteria,Probable,VERDADERO,
ID_1708044505140,Tizón tardío del tomate,Phytophthora infestans,fungi,Muy improbable,VERDADERO,
ID_1708044505140,Tizón temprano,Alternaria solani,fungi,Muy improbable,VERDADERO,
ID_1708044626356,Oruga del tabaco,Spodoptera litura,insect,Posible,VERDADERO,
ID_1708044626356,Gusano bellotero del algodón,Helicoverpa armigera,insect,Posible,VERDADERO,
ID_1708044626356,Áfidos o pulgones,Aphis,insect,Muy improbable,VERDADERO,
ID_1708044719144,Moscas minadoras o minadores,Agromyzidae,insect,Probable,VERDADERO,
ID_1708045203388,Oruga del tabaco,Spodoptera litura,insect,Posible,VERDADERO,
ID_1708045203388,Gusano bellotero del algodón,Helicoverpa armigera,insect,Improbable,VERDADERO,
ID_1708045203388,Cogollero del maíz,Spodoptera frugiperda,insect,Muy improbable,VERDADERO,
ID_1708045347191,Saludables,Healthy,others,Improbable,VERDADERO,
ID_1708045347191,Podredumbre apical,Calcium Deficiency Rot,deficiency,Improbable,VERDADERO,
ID_1708045347191,Quemadura solar abiótica,Abiotic Sunburn,others,Improbable,VERDADERO,
ID_1708045626735,Mancha bacteriana del tomate,Xanthomonas sp.,bacteria,Muy probable,VERDADERO,
ID_1708045626735,Cercosporiosis del pimiento,Cercospora capsici,fungi,Muy improbable,VERDADERO,
ID_1708045561666,Saludables,Healthy,others,Probable,FALSO,
ID_1708045561666,Trips amarillo,Scirtothrips dorsalis,insect,Muy improbable,VERDADERO,
ID_1708045901244,Podredumbre apical,Calcium Deficiency Rot,deficiency,Probable,VERDADERO,
ID_1708045901244,Tizón temprano,Alternaria solani,fungi,Muy improbable,VERDADERO,
ID_1708045901244,Gusano bellotero del algodón,Helicoverpa armigera,insect,Muy improbable,VERDADERO,
ID_1708045861012,Mosca blanca,Aleyrodidae,insect,Probable,VERDADERO,
ID_1708045861012,Áfidos o pulgones,Aphis,insect,Muy improbable,FALSO,
ID_1708046330546,Quema foliar en la cebolla,Pleospora allii,fungi,Probable,FALSO,
ID_1708046330546,Mildiú lanoso,Peronosporales,fungi,Muy improbable,No lo sé,
ID_1708046330546,Trips o arañuelas,Thysanoptera,insect,Muy improbable,FALSO,
ID_1708046581389,Saludables,Healthy,others,Probable,VERDADERO,
ID_1708046581389,Podredumbre apical,Calcium Deficiency Rot,deficiency,Muy improbable,VERDADERO,
ID_1708046581389,Moho gris,Botrytis cinerea,fungi,Muy improbable,VERDADERO,
ID_1708046468578,Áfidos o pulgones,Aphis,insect,Probable,VERDADERO,
ID_1708047199679,Áfidos o pulgones,Aphis,insect,Muy probable,VERDADERO,
ID_1708048615222,Saludables,Healthy,others,Posible,FALSO,
ID_1708048615222,Cicadélidos o saltahojas,Amrasca,insect,Improbable,FALSO,
ID_1708048615222,Mosca blanca,Aleyrodidae,insect,Muy improbable,FALSO,
ID_1708050115006,Mancha Ocular del Maíz,Kabatiella zeae,fungi,Probable,FALSO,
ID_1708050115006,Roya del Maíz,Puccinia polysora,fungi,Muy improbable,No lo sé,
ID_1708050115006,Mancha Gris del Maíz,Cercospora zeae-maydis,fungi,Muy improbable,VERDADERO,
ID_1708050970412,Saludables,Healthy,others,Muy probable,VERDADERO,
ID_1708051275516,Fumagina,Pezizomycotina,fungi,Posible,VERDADERO,
ID_1708051275516,Minador del cafeto,Leucoptera sp.,insect,Improbable,VERDADERO,
ID_1708051275516,Saludables,Healthy,others,Muy improbable,VERDADERO,
ID_1708051539737,Minador del cafeto,Leucoptera sp.,insect,Posible,VERDADERO,
ID_1708051539737,Roya del cafeto,Hemileia vastatrix,fungi,Improbable,FALSO,
ID_1708051539737,Mancha de hierro,Mycosphaerella coffeicola,fungi,Muy improbable,FALSO,
